action,id,name,field,old,new,reason
update,7,SPICEY CASHEW,size,1.00 Lb,1 LB,1 size spelling
update,14,CASHEWS,size,4LB,4 LB,1 size spelling
update,19,TOASTED CORN,size,7 oz,7 OZ,1 size spelling
update,21,MAYA COCONUT FLAKES,size,1LB,1 LB,1 size spelling
update,22,YOGI WHEAT LADDO FLOUR,size,2LB,2 LB,1 size spelling
update,23,FENUGREEK SEEDS,size,400GM,400 GM,1 size spelling
update,24,FENNEL SEEDS,size,400GM,400 GM,1 size spelling
update,25,MAYA PHOOL MAKHANA,size,100GM,100 GM,1 size spelling
update,29,FLAT CINAMMON STICK,size,100GM,100 GM,1 size spelling
update,30,SQUARE JAGGERY,size,400GM,400 GM,1 size spelling
update,31,ANAR DANA POWDER,size,100GM,100 GM,1 size spelling
update,34,PICKLE MASALA,size,200GM,200 GM,1 size spelling
update,35,PAPRIKA,size,200GM,200 GM,1 size spelling
update,37,KALA JEERA,size,100GM,100 GM,1 size spelling
update,38,CRUSH CHILLI,size,400GM,400 GM,1 size spelling
update,39,CURRY POWDER,size,400GM,400 GM,1 size spelling
update,40,NUTMEG,size,100GM,100 GM,1 size spelling
update,41,MAYA FATKADI,size,100GM,100 GM,1 size spelling
update,45,CHANNA DAL,size,8LB,8 LB,1 size spelling
update,49,MOONG DAL,ingredients,"Moong Lentils, Ginger Garlic, Cumin, Tomatoes, Cilantro, Salt, , Oil & Spices","Moong Lentils, Ginger Garlic, Cumin, Tomatoes, Cilantro, Salt, Oil & Spices",2 ingredient spacing/punctuation
update,52,MAYA PEANUT BLANCHED,size,1LB,1 LB,1 size spelling
update,53,URAD WHOLE,size,2LB,2 LB,1 size spelling
update,54,URAD WHOLE,size,4LB,4 LB,1 size spelling
update,55,URAD WHOLE,size,8LB,8 LB,1 size spelling
update,56,URAD DAL,size,8LB,8 LB,1 size spelling
update,57,URAD DAL,size,4LB,4 LB,1 size spelling
update,58,URAD DAL,size,2LB,2 LB,1 size spelling
update,59,MASALA IDLI,size,5PCS,5 PCS,1 size spelling
update,61,MOONG CHILKA,size,4LB,4 LB,1 size spelling
update,62,MOONG CHILKA,size,2LB,2 LB,1 size spelling
update,63,URD CHILKA,size,2LB,2 LB,1 size spelling
update,64,URD CHILKA,size,4LB,4 LB,1 size spelling
update,65,DARK KIDNEY BEANS,size,4LB,4 LB,1 size spelling
update,67,DARK KIDNEY BEANS,size,8LB,8 LB,1 size spelling
update,68,LIGHT KIDNEY BEANS,size,8LB,8 LB,1 size spelling
update,70,LIGHT KIDNEY BEANS,size,2LB,2 LB,1 size spelling
update,71,KASHMIRI RAJMA,size,2LB,2 LB,1 size spelling
update,72,KASHMIRI RAJMA,size,4LB,4 LB,1 size spelling
update,73,KASHMIRI RAJMA,size,8LB,8 LB,1 size spelling
update,74,BLACK EYE PEAS,size,8LB,8 LB,1 size spelling
update,75,BLACK EYE PEAS,size,4LB,4 LB,1 size spelling
update,76,BLACK EYE PEAS,size,2LB,2 LB,1 size spelling
update,78,RED CHORI,size,4LB,4 LB,1 size spelling
update,79,CHICKPEAS,size,4LB,4 LB,1 size spelling
update,80,CHICKPEAS,size,8LB,8 LB,1 size spelling
update,81,CHICKPEAS,size,2LB,2 LB,1 size spelling
update,82,KALA CHANNA,size,2.00 lb,2 LB,1 size spelling
update,83,KALA CHANNA,size,4LB,4 LB,1 size spelling
update,84,KALA CHANNA,size,8LB,8 LB,1 size spelling
update,85,MOTH WHOLE,size,4LB,4 LB,1 size spelling
update,86,MOTH WHOLE,size,2LB,2 LB,1 size spelling
update,87,MASOOR GOTA,size,2LB,2 LB,1 size spelling
update,88,MASOOR GOTA,size,4LB,4 LB,1 size spelling
update,92,TOOR DAL,size,2LB,2 LB,1 size spelling
update,93,TOOR DAL,size,4lb,4 LB,1 size spelling
update,95,TOOR DAL OILY,size,2LB,2 LB,1 size spelling
update,96,TOOR DAL OILY,size,8LB,8 LB,1 size spelling
update,97,ANGOOR TOOR DAL OILY,size,8LB,8 LB,1 size spelling
update,98,TILDA BASMATI RICE,size,2LBS,2 LB,1 size spelling
update,99,TILDA BASMATI RICE,size,4LBS,4 LB,1 size spelling
