id,name,size,old,new
124,AAOJEE BLACK TEA,800 GM,,Dry Goods
125,AAOJEE GULAB JAMUN,,,Sweets
222,AAOJEE GULAB JAMUN (SM),,,Sweets
147,AAOJEE KHEER,,,Sweets
187,AAOJEE RASMALAI,2 PCS,,Sweets
153,AGRO CORN STARCH,454 GM,,Dry Goods
261,AJWAIN SEED,7 OZ (200 GM),,Spices
290,AJWAIN SEED,14 OZ (400 GM),,Spices
1,ALMOND,2 LB,,Dry Goods
2,ALMOND,1 LB,,Dry Goods
174,ALMOND,4 LB,,Dry Goods
394,ALMOND BURFI,8 OZ,,Sweets
370,ALMOND PISTA PEDA,7 OZ,,Sweets
8,ALMOND SLICE,14 OZ (400 GM),,Dry Goods
207,ALPHONSO MANGO PULP,30 OZ,,Dry Goods
127,ALSI,3 LB,,Dry Goods
186,ALSI,2 LB,,Dry Goods
434,ALSI PINNI,,,Sweets
422,ALU BUKHARA,7 OZ,,Dry Goods
196,AMUL DESI GHEE,905 GM,,Dry Goods
31,ANAR DANA POWDER,100 GM,,Spices
97,ANGOOR TOOR DAL OILY,8 LB,,Dry Goods
197,ASSAM TEA,900 GM,,Dry Goods
198,ASSAM TEA,2 LB,,Dry Goods
199,ASSAM TEA,450 GM,,Dry Goods
435,ASSORTED NUTS,1.5 LB,,Dry Goods
175,BASMATI RICE,2 LB,,Dry Goods
176,BASMATI RICE,4 LB,,Dry Goods
241,BASMATI RICE,4 LB,,Dry Goods
240,BASMATI RICE(PARBOILED),2 LB,,Dry Goods
32,BAY LEAF,50 GM,,Spices
146,BAY LEAF,25 GM,,Spices
291,BENGALI PUFFED RICE,14.1 OZ (400 GM),,Dry Goods
255,BESAN BURFI,14 OZ,,Sweets
385,BESAN BURFI,8 OZ,,Sweets
211,BESAN PINNI,14 OZ,,Sweets
74,BLACK EYE PEAS,8 LB,,Dry Goods
75,BLACK EYE PEAS,4 LB,,Dry Goods
76,BLACK EYE PEAS,2 LB,,Dry Goods
329,BLACK PEPPER PWDR,7 OZ,,Spices
331,BLACK PEPPER PWDR,3.5 OZ,,Spices
339,BLACK PEPPER PWDR,14 OZ,,Spices
340,BLACK PEPPER PWDR,28 OZ,,Spices
275,BLACK PEPPER WHOLE,7 OZ (200 GM),,Spices
276,BLACK PEPPER WHOLE,14 OZ (400 GM),,Spices
356,BLACK RAISINS,400 GM,,Dry Goods
337,BLACK SALT,3.5 OZ,,Spices
367,BOONDI KI BURFI,8 OZ,,Sweets
20,BROKEN CASHEW,2 LB,,Dry Goods
256,BROKEN CASHEW,4 LB,,Dry Goods
234,BROKEN CASHEWS,1 LB,,Dry Goods
136,BROWN BASMATI RICE,2 LB,,Dry Goods
224,BROWN BASMATI RICE,4 LB,,Dry Goods
185,CARDAMOM SEEDS,3.5 OZ,,Spices
14,CASHEWS,4 LB,,Dry Goods
15,CASHEWS,1 LB,,Dry Goods
16,CASHEWS,2 LB,,Dry Goods
389,CHAM CHAM,7 OZ,,Sweets
390,CHANDARKALA,7 OZ,,Sweets
43,CHANNA DAL,2 LB,,Dry Goods
44,CHANNA DAL,4 LB,,Dry Goods
45,CHANNA DAL,8 LB,,Dry Goods
406,CHIA SEED,1 LB,,Dry Goods
42,CHIA SEEDS,2 LB,,Dry Goods
79,CHICKPEAS,4 LB,,Dry Goods
80,CHICKPEAS,8 LB,,Dry Goods
81,CHICKPEAS,2 LB,,Dry Goods
407,CHOCOLATE BURFI,7 OZ,,Sweets
159,CINAMMON STICKS,14 OZ,,Spices
160,CINAMMON STICKS,1 LB,,Spices
161,CINAMMON STICKS,7 OZ,,Spices
352,CINAMON STICK,3.5 OZ,,Spices
26,CLOVES,3.5 OZ (100 GM),,Spices
27,CLOVES,7 OZ (200 GM),,Spices
28,CLOVES,14 OZ (400 GM),,Spices
100,CLOVES,2 LB,,Spices
425,COCONUT BURFI,8 OZ,,Sweets
218,COCONUT FLAKES,1 LB,,Dry Goods
227,COCONUT POWDER,1 LB,,Dry Goods
236,COCONUT POWDER,14 OZ,,Dry Goods
226,COCONUT SLICES,200 GM,,Dry Goods
349,CORIANDER SEED,7 OZ,,Spices
348,CORRIANDER SEED,14 OZ,,Spices
362,COUSCOUS,1 LB,,Dry Goods
259,CRANBERRI,14 OZ,,Dry Goods
33,CROWN CHILLI POWDER,7 OZ,,Spices
314,CROWN CORIANDER SEEDS,200 GM,,Spices
316,CROWN GREEN CARDAMOM,200 GM,,Spices
326,CROWN MOONG WHOLE,4 LB,,Dry Goods
321,CROWN TURMERIC POWDER,200 GM,,Spices
38,CRUSH CHILLI,400 GM,,Spices
36,CUMIN SEED,28 OZ (800 GM),,Spices
263,CUMIN SEEDS,200 GM,,Spices
266,CUMIN SEEDS,14 OZ (400 GM),,Spices
327,CUMIN SEEDS,3 LB,,Spices
383,CUMIN SEEDS,28 OZ,,Spices
39,CURRY POWDER,400 GM,,Spices
65,DARK KIDNEY BEANS,4 LB,,Dry Goods
66,DARK KIDNEY BEANS,2 LB,,Dry Goods
67,DARK KIDNEY BEANS,8 LB,,Dry Goods
274,DEER BLACK CARDIMOM,3.5 OZ (100 GM),,Spices
287,DEER BROWN MUSTARD- BIG,14 OZ,,Spices
288,DEER BROWN MUSTARD- BIG,14 OZ,,Spices
279,DEER GOOND KATIRA,3.5 OZ (100 GM),,Spices
312,DODI HALWA,,,Sweets
306,FALOODA SEV,50 GM,,Sweets
182,FENNEL CANDY,14 OZ,,Sweets
235,FENNEL CANDY,0.5 LB,,Sweets
24,FENNEL SEEDS,400 GM,,Spices
204,FENNEL SEEDS,200 GM,,Spices
23,FENUGREEK SEEDS,400 GM,,Spices
29,FLAT CINAMMON STICK,100 GM,,Spices
215,FLEX SEEDS,7 OZ,,Dry Goods
178,FRUIT CUSTARD,,,Sweets
303,FRYUMS,14 OZ,,Dry Goods
119,GAJJAR HALWA,,,Sweets
374,GAJJAR KI KHEER,,,Sweets
308,GAZAB AAM PAPAD BURFI,150 GM,,Sweets
18,GINGER SLICE (CANDY),14 OZ,,Sweets
3,GOLDEN RAISINS,1 LB,,Dry Goods
4,GOLDEN RAISINS,2 LB,,Dry Goods
13,GREEN CARDAMOM,1 LB,,Spices
284,GREEN CARDAMOM,7 OZ (200 GM),,Spices
353,GREEN CARDAMOM,14 OZ (400 GM),,Spices
107,GREEN CHANNA,2 LB,,Dry Goods
238,GREEN PISTA,1 LB,,Dry Goods
239,GREEN PISTA,7 OZ,,Dry Goods
6,GREEN RAISINS,1 LB,,Dry Goods
17,GREEN RAISINS,2 LB,,Dry Goods
162,GULAB JAMUN,,,Sweets
