token,item,variation,sku,field,old,new,reason
KCZOLSJ5FQXEONPF77XDACEM,727200,Regular,727200,GTIN,,07272004,scanner sends the 8-digit code
ZJBIFWYJCFQZLGKUNYGKF5MB,AAOJEE BLACK TEA,800G,312800,GTIN,,03128000,scanner sends the 8-digit code
NQKNAZE3RU2KO6AX6V64QCY5,AAOJEE BLACK TEA,800GM,264100,GTIN,,02641007,scanner sends the 8-digit code
7UMP3WZQ4TOZ2GRNGNBONPRD,AAOJEE CHAM CHAM,4 PCS,125212,GTIN,,01252121,scanner sends the 8-digit code
SGT3MGKSGMDJAWM4T7M7GRUY,AAOJEE GULABJAMUN SMALL,Regular,406400,GTIN,,04064004,scanner sends the 8-digit code
7HVS5CJAD7IRNOKBWWICDIRV,AAOJEE KHEER,Regular,315400,GTIN,,03154005,scanner sends the 8-digit code
6VOZL5SNW6J6WBMAWMBA4LO7,AAOJEE PAPDI,Regular,785450,GTIN,,07854505,scanner sends the 8-digit code
QH5KO3GUFEIIMJJZECATVGZN,AAOJEE RASMALAI,Regular,400300,GTIN,,04003003,scanner sends the 8-digit code
BZF5VTIQJVOOFQSYG2GKUBVM,AAOJEE ROTI,5 PICES,312400,GTIN,,03124004,scanner sends the 8-digit code
F3O64DNHPYUS6DZMSLXFZCCL,AGRO CORN STARCH,454 GM,316100,GTIN,,03161005,scanner sends the 8-digit code
OX6ZYVTL7DOMPN6GMUNZMAEY,AJINO MOTO,7oz,843690,GTIN,,08436908,scanner sends the 8-digit code
FHIH6SMPCXFT5GIU6DZVVJV3,AJINO MOTO,14oz,981200,GTIN,,09812002,scanner sends the 8-digit code
YYGCS6PNA5SXTHI22L7NX7BP,AJWAIN SEED,7 OZ (200 GM),559200,GTIN,,05592001,scanner sends the 8-digit code
7EIIOXB4SWO4ZE7LVSQ65LFJ,ALL IN ONE,1 LB,987645,GTIN,,09876453,scanner sends the 8-digit code
